,airport_ident,length_ft,le_ident,surface,lighted,closed
0,00A,80.0,H1,ASPH-G,1,0
1,00AK,2500.0,N,GRVL,0,0
2,00AL,2300.0,1,TURF,0,0
3,00AR,40.0,H1,GRASS,0,0
4,00AS,1450.0,1,Turf,0,0
5,00AZ,1700.0,15,GRAVEL,0,0
6,00CA,6000.0,4,ASPH,0,0
7,00CO,3900.0,16,TURF-G,0,0
8,00FA,3200.0,8,TURF,0,0
9,00FD,74.0,H1,TURF,0,0
10,00FL,4090.0,12,TURF,0,0
11,00GA,2600.0,9,TURF,0,0
12,00GE,125.0,H1,ASPH,1,0
13,00HI,1155.0,H1,ASPH-G,0,0
14,00ID,3300.0,8,TURF,0,0
15,00ID,2700.0,11,TURF,0,0
16,00IL,2500.0,18,TURF-F,0,0
17,00IN,40.0,H1,MATS,1,0
18,00IS,1600.0,E,TURF,0,0
19,00KS,2600.0,17,TURF,0,0
20,00KY,2100.0,1,TURF,0,0
21,00LA,40.0,H1,TURF,0,0
22,00LL,25.0,H1,CONC,0,0
23,00LS,2600.0,18,TURF,0,0
24,00MD,1700.0,14,TURF,0,0
25,00MI,100.0,H1,TURF,0,0
26,00MN,2949.0,6,TURF-G,1,0
27,00MO,2400.0,8,TURF,0,0
28,00MT,2000.0,E,TURF,0,0
29,00N,1900.0,18,TURF-G,1,0
30,00NC,2650.0,5,ASPH-G,0,0
31,00NJ,50.0,H1,ASPH,0,0
32,00NY,2350.0,3,TURF,1,0
33,00OH,2695.0,8,TURF-G,0,0
34,00OI,42.0,H1,CONC,0,0
35,00OK,2200.0,17,Turf/Dirt,0,0
36,00PA,80.0,H1,TURF-G,0,0
37,00PN,500.0,12,TURF,0,0
38,00PS,3100.0,8,TURF-G,0,0
39,00S,2600.0,6,TURF-P,0,0
40,00SC,2900.0,8,TURF,0,0
41,00SD,2400.0,18,Turf,0,0
42,00TA,85.0,H1,CONC-G,0,0
43,00TE,48.0,H1,TURF,0,0
44,00TN,1800.0,9,TURF,0,0
45,00TS,1200.0,1,TURF,0,0
46,00TX,50.0,H1,CONC,0,0
47,00VA,1300.0,1,TURF,0,0
48,00VI,1500.0,9,TURF,0,0
49,00W,3400.0,14,GRAVEL-F,0,0
50,00WA,1105.0,8,TURF-G,0,0
51,00WI,1000.0,9,TURF,0,0
52,00WN,1440.0,5,TURF-G,0,0
53,00WV,1800.0,5,TURF,0,0
54,00XS,1475.0,17,TURF-F,0,0
55,01A,1175.0,8,GRAVEL-F,0,0
56,01AK,40.0,H1,CONC,1,0
57,01AL,2500.0,N,TURF,1,0
58,01AR,55.0,H1,CONC,1,0
59,01AZ,210.0,H1,TURF,0,0
60,01C,2517.0,9,TURF-G,1,0
61,01CA,20.0,H1,ASPH,0,0
62,01CL,3100.0,9,ASPH-TRTD,1,0
63,01CN,60.0,H1,ASPH,0,0
64,01CO,125.0,H1,ASPH,0,0
65,01CT,70.0,H1,TURF-GRVL,0,0
66,01FA,2000.0,10,TURF,0,0
67,01FA,1500.0,18,TURF,0,0
68,01FD,110.0,H1,CONC,0,0
69,01FL,3000.0,18,TURF,1,0
70,01GA,65.0,H1,CONC,0,0
71,01GE,2560.0,10,TURF,0,0
72,01IA,2575.0,17,TURF-F,1,0
73,01ID,2894.0,14,TURF-F,0,0
74,01IL,416.0,H1,TURF,0,0
75,01IN,45.0,H1,ASPH,0,0
76,01IS,1300.0,9,TURF,0,0
77,01J,3365.0,18,TURF-P,1,0
78,01K,2460.0,17,TURF-G,1,0
79,01KS,2400.0,18,TURF,0,0
80,01KY,40.0,H1,CONC,0,0
81,01LA,2000.0,9,TURF,0,0
82,01LL,1600.0,2,TURF,0,0
83,01LS,1800.0,9,TURF,0,0
84,01MA,32.0,H1,TURF,0,0
85,01MD,3500.0,16,WATER,0,0
86,01ME,5000.0,2,WATER,0,0
87,01ME,5000.0,15,WATER,0,0
88,01MI,50.0,H1,CONC,0,0
89,01MN,10000.0,E,WATER,0,0
90,01MN,10000.0,NW,WATER,0,0
91,01MO,37.0,H1,CONC,0,0
92,01MT,5000.0,13,ASPH-G,0,0
93,01NC,3200.0,3,TURF,1,0
94,01NC,2000.0,18,ASPH-TURF,0,0
95,01NE,2750.0,10,TURF,0,0
96,01NH,600.0,17,TURF,0,0
97,01NJ,125.0,H1,ASPH,0,0
98,01NM,2700.0,2,DIRT,0,0
99,01NM,200.0,9,DIRT,0,0
100,01NV,2000.0,18,GRVL,0,0
101,01NY,100.0,H1,ASPH,0,0
102,01OI,30.0,H1,CONC-G,0,0
103,01OK,2640.0,17,ASPH,1,0
104,01OR,4800.0,7,GRVL-DIRT,0,0
105,01PA,60.0,H1,TURF,0,0
106,01PN,1700.0,6,TURF,0,0
107,01PS,1200.0,3,TURF-G,0,0
108,01SC,2580.0,18,TURF-F,1,0
109,01TA,30.0,H1,CONC,0,0
110,01TE,2433.0,4,TURF-F,0,0
111,01TN,2700.0,18,TURF,0,0
112,01TX,500.0,9,TURF,0,0
113,01TX,700.0,18,TURF,0,0
114,01U,2700.0,3,DIRT-P,0,0
115,01U,3400.0,15,DIRT-P,0,0
116,01UT,3200.0,E,DIRT-P,0,0
117,01VA,1500.0,3,TURF,0,0
118,01WA,36.0,H1,CONC,0,0
119,01WI,2300.0,1,TURF,0,0
120,01WN,40.0,H1,ASPH,1,0
121,01WT,28.0,H1,CONC-G,0,0
122,01WY,4360.0,12,DIRT-TURF-G,0,0
123,01WY,2600.0,16,DIRT-TURF-G,0,0
124,01XA,50.0,H1,CONC,1,0
125,01XS,50.0,H1,CONC,0,0
126,02AK,2200.0,15,GRVL,0,0
127,02AL,2000.0,18,TURF,0,0
128,02AR,4400.0,7,ASPH-G,0,0
129,02AZ,4500.0,17,TURF,0,0
130,02CA,55.0,H1,PSP,0,0
131,02CD,2500.0,15,CONC-TURF,0,0
132,02CL,3000.0,16,DIRT,0,0
133,02CO,2670.0,17,GRAVEL,0,0
134,02CT,50.0,H1,ASPH,0,0
135,02FA,2485.0,18,TURF,0,0
136,02FL,1800.0,12,TURF-F,0,0
137,02GA,1200.0,8,TURF,0,0
138,02GA,1500.0,13,TURF,0,0
139,02GE,3400.0,9,TURF,0,0
140,02HI,100.0,H1,CONC,0,0
141,02IA,50.0,H1,CONC,0,0
142,02ID,2000.0,NE,TURF,0,0
143,02II,1100.0,10,TURF,0,0
144,02IN,1020.0,9,TURF,0,0
145,02IS,40.0,H1,MATS,0,0
146,02KS,1650.0,11,TURF,0,0
147,02KS,1950.0,18,TURF,0,0
148,02KY,100.0,H1,CONC,0,0
149,02LA,20.0,H1,CONC,0,0
150,02LS,24.0,H1,CONC,0,0
151,02MA,50.0,H1,ASPH,0,0
152,02ME,2400.0,14,TURF,0,0
153,02MI,2000.0,9,TURF,0,0
154,02MN,1897.0,3,TURF-P,0,0
155,02MN,2500.0,12,TURF-F,0,0
156,02MN,2553.0,13,TURF-P,0,0
157,02MO,2200.0,8,TURF-G,0,0
158,02MS,2150.0,12,TURF-F,0,0
159,02MU,1900.0,N,TURF,0,0
160,02NC,100.0,H1,TURF,0,0
161,02NH,3000.0,18W,WATER,0,0
162,02NH,20.0,H1,TURF,0,0
163,02NV,2200.0,9,TURF,0,0
164,02NY,25.0,H1,TURF,0,0
165,02OH,2750.0,9,TURF,0,0
166,02OI,1500.0,E,TURF,0,0
167,02OR,2000.0,E,TURF,0,0
168,02P,100.0,H1,TURF-G,1,0
169,02PA,60.0,H1,TURF-GRVL,0,0
170,02PN,40.0,H1,ASPH,0,0
171,02PR,2000.0,6,TURF,0,0
172,02PS,500.0,1,TURF,0,0
173,02SC,3600.0,4,TURF-G,0,0
174,02T,4050.0,2,DIRT-G,0,0
175,02TA,32.0,H1,CONC,0,0
176,02TE,40.0,H1,CONC,1,0
177,02TN,1600.0,11,TURF,0,0
178,02TX,4800.0,17,TURF,0,0
179,02UT,4000.0,7,DIRT,0,0
180,02UT,4000.0,16,DIRT-P,0,0
181,02VA,3000.0,18,TURF,0,0
182,02WA,2650.0,16,TURF,0,0
183,02WI,2200.0,18,TURF,0,0
184,02WN,1500.0,13,DIRT,0,0
185,02XA,1950.0,18,Turf,0,0
186,02XS,1500.0,2,TURF,0,0
187,02XS,1320.0,11,TURF,0,0
188,03AK,1000.0,7,DIRT,0,0
189,03AK,6000.0,N,WATER,0,0
190,03AK,2600.0,NE,WATER,0,0
191,03AL,50.0,H1,CONC,1,0
192,03AR,117.0,H1,CONC,1,0
193,03AZ,3600.0,E,DIRT,1,0
194,03CA,40.0,H1,CONC,1,0
195,03CO,4000.0,13,ASPH-G,0,0
196,03FA,2000.0,E,TURF,0,0
197,03FD,2000.0,9,TURF-G,0,0
198,03FL,50.0,H1,CONC,0,0
199,03GA,1990.0,10,Turf,0,0
200,03GA,1955.0,11,Turf,0,0
201,03I,2375.0,13,TURF-G,0,0
202,03ID,1800.0,11,TURF,0,0
203,03II,1000.0,N,TURF,0,0
204,03IL,2600.0,18,TURF,0,0
205,03IS,40.0,H1,CONC,0,0
206,03KS,25.0,H1,GRAVEL,0,0
207,03KY,2300.0,3,TURF,0,0
208,03LA,60.0,H1,TURF,0,0
209,03LS,40.0,H1,CONC,1,0
210,03M,3800.0,2,WATER,0,0
211,03MA,1600.0,12,TURF,0,0
212,03MD,50.0,H1,CONC,1,0
213,03ME,2400.0,18,TURF,0,0
214,03MI,20.0,H1,TURF,0,0
215,03MN,1940.0,17,TURF,0,0
216,03MO,2200.0,15,TURF,0,0
217,03MS,60.0,H1,CONC,0,0
218,03MU,2400.0,17,ASPH,1,0
219,03N,2400.0,7,GRVL,0,0
220,03NC,2750.0,9,ASPH-G,0,0
221,03ND,2600.0,17,TURF,0,0
222,03NE,2200.0,1,TURF,0,0
223,03NH,12.0,H1,ASPH,0,0
224,03NV,3200.0,18,TURF-P,0,0
225,03NY,2000.0,16,TURF,0,0
226,03OH,2100.0,N,TURF,0,0
227,03OH,2200.0,NE,TURF,0,0
228,03OI,60.0,H1,CONC,0,0
229,03OK,1200.0,18,TURF,0,0
230,03OR,2950.0,7,CONC,0,0
231,03PA,130.0,H1,ASPH,0,0
232,03PN,100.0,H1,TURF,0,0
233,03PR,2926.0,9,Turf,0,0
234,03PS,675.0,14,TURF-G,0,0
235,03PS,925.0,16,TURF-G,0,0
236,03PS,1130.0,18,TURF-G,0,0
237,03S,2115.0,8,TURF-G,0,0
238,03SC,40.0,H1,CONC,1,0
239,03TE,3500.0,12,TURF,0,0
240,03TN,20.0,H1,TURF,0,0
241,03TS,90.0,H1,ASPH,0,0
242,03TX,150.0,H1,TURF,0,0
243,03UT,5000.0,NE,GRAVEL,0,0
244,03UT,3250.0,NW,GRAVEL,0,0
245,03WA,2800.0,18,GRAVEL,0,0
246,03WI,1500.0,N,TURF,0,0
247,03WN,2000.0,7,GRVL,0,0
248,03XS,3200.0,4,TURF-DIRT,0,0
249,03XS,1600.0,15,TURF,0,0
250,04AA,1300.0,16,Turf,0,0
251,04AA,825.0,5,Turf,0,0
252,04AL,100.0,H1,ASPH,0,0
253,04AR,40.0,H1,ASPH,1,0
254,04CA,5000.0,8,ASPH,0,0
255,04CL,1900.0,8,GRVL-DIRT,0,0
256,04CT,50.0,H1,TURF,0,0
257,04F,2400.0,15,ASP,0,1
258,04FA,2620.0,9,TURF,0,0
259,04FL,3000.0,9,TURF,0,0
260,04I,2382.0,6,TURF-G,1,0
261,04IA,2310.0,18,TURF-G,0,0
262,04ID,3000.0,7,DIRT-F,0,0
263,04II,1372.0,18,TURF,0,0
264,04IL,1700.0,N,TURF,0,0
265,04IN,4000.0,13W,WATER,0,0
266,04IS,2200.0,9,TURF,0,0
267,04KS,400.0,H1,TURF-GRVL,0,0
268,04KY,1700.0,15,ASPH,0,0
269,04LA,40.0,H1,CONC,1,0
270,04LL,3700.0,9,TURF,0,0
271,04LS,60.0,H1,CONC-G,0,0
272,04MA,2100.0,16,TURF,0,0
273,04MD,50.0,H1,ASPH,1,0
274,04ME,1950.0,15,TURF,0,0
275,04MI,2000.0,18,TURF-G,0,0
276,04MN,2500.0,10,TURF,0,0
277,04MO,2600.0,18,TURF,0,0
278,04MS,3400.0,17,ASPH-TURF,0,0
279,04MT,2100.0,E,TURF,0,0
280,04MT,1900.0,N,TURF,0,0
281,04NC,91.0,H1,ASPH,0,0
282,04NE,2500.0,N,TURF,0,0
283,04NJ,3500.0,8,TURF,1,0
284,04NV,3240.0,2,ASPH,1,0
285,04NY,5200.0,2,TURF,0,0
286,04OG,50.0,H1,CONC,0,0
287,04OH,2200.0,N,TURF,0,0
288,04OK,45.0,H1,CONC,0,0
289,04PA,100.0,H1,CONC,0,0
290,04PN,70.0,H1,CONC,0,0
291,04SC,50.0,H1,CONC,0,0
292,04SD,46.0,H1,CON,0,0
293,04TA,60.0,H1,CONC,0,0
294,04TE,30.0,H1,TURF,0,0
295,04TN,3000.0,1,ASPH,0,0
296,04TS,20.0,H1,TURF,0,0
297,04TX,2000.0,12,TURF,0,0
298,04UT,3700.0,4,DIRT,0,0
299,04V,7745.0,10,GRVL-G,0,0
300,04VA,50.0,H1,CONC,1,0
301,04VG,3500.0,1,TURF-F,0,0
302,04VG,1800.0,11,TURF-F,0,0
303,04VT,1300.0,6,TURF,0,0
304,04W,2751.0,6,ASPH-G,1,0
305,04WA,1800.0,N,TURF,0,0
306,04WI,1800.0,9,TURF,0,0
307,04WN,4100.0,11,ASPH,0,0
308,04WV,40.0,H1,CONC,0,0
309,04XS,80.0,H1,ASPH,0,0
310,05AK,2000.0,1,TURF-GRVL,0,0
311,05AL,1600.0,H1,ASPH,0,0
312,05AL,1600.0,H2,ASPH,0,0
313,05AL,1600.0,H3,ASPH,0,0
314,05AL,1600.0,H4,ASPH,0,0
315,05AL,1600.0,H5,ASPH,0,0
316,05AL,1600.0,H6,ASPH,0,0
317,05AR,2000.0,6,TURF,0,0
318,05AZ,40.0,H1,CONC,0,0
319,05B,4000.0,NW,WATER,0,0
320,05CA,78.0,H1,CONC-G,0,0
321,05CL,3700.0,10,ASPH-G,1,0
322,05CO,2650.0,18,TURF,0,0
323,05CT,50.0,H1,ASPH,0,0
324,05FA,2950.0,8,TURF,0,0
325,05FD,95.0,H1,TURF,0,0
326,05FL,3200.0,9,TURF,0,0
327,05FL,1600.0,15,TURF,0,0
328,05GA,2200.0,18,ASPH,0,0
329,05IA,2450.0,9,TURF-P,0,0
330,05ID,2000.0,3,TURF-GRVL,0,0
331,05II,1800.0,9,TURF,0,0
332,05IL,3200.0,10,TURF,0,0
333,05IN,2000.0,8,TURF,0,0
334,05IS,2000.0,9,TURF,0,0
335,05KS,2350.0,17,TURF,0,0
336,05KY,1270.0,2,TURF,0,0
337,05LA,2200.0,18,TURF,0,0
338,05LL,120.0,H1,ASPH,0,0
339,05LS,2300.0,2,TURF,0,0
340,05MA,100.0,H1,ASPH,0,0
341,05MD,2700.0,18,TURF,0,0
342,05ME,900.0,E,TURF,0,0
343,05MO,30.0,H1,CONC-G,0,0
344,05MS,40.0,H1,CONC,1,0
345,05NC,40.0,H1,CONC,1,0
346,05NE,3210.0,15,TURF,0,0
347,05NH,100.0,H1,TURF,0,0
348,05NJ,60.0,H1,CONC,1,0
349,05NY,75.0,H1,ASPH-CONC-G,0,0
350,05OI,2000.0,9,TURF,0,0
351,05OK,2200.0,17,TURF,0,0
352,05OR,2600.0,11,TURF,0,0
353,05OR,75.0,H1,TURF,0,0
354,05PA,70.0,H1,ASPH,0,0
355,05PN,120.0,H1,ASPH,0,0
356,05PS,2319.0,6,TURF,0,0
357,05S,2940.0,9,TURF-G,0,0
358,05TA,1700.0,17,TURF-G,0,0
359,05TE,1500.0,15,TURF,0,0
360,05TS,1700.0,17,TURF,0,0
361,05TX,2075.0,15,TURF,0,0
362,05UT,3950.0,14,ASPH-P,0,0
363,05V,6160.0,3,DIRT-G,0,0
364,05VA,2000.0,18,TURF,0,0
365,05VT,80.0,H1,CONC,0,0
366,05WA,40.0,H1,CONC,0,0
367,05WI,1800.0,E,TURF,0,0
368,05WN,1700.0,9,TURF-GRVL,0,0
369,05XS,2600.0,1,TURF,0,0
370,05Y,3280.0,17,TURF-G,1,0
371,06AK,2000.0,2,GRVL,0,0
372,06AL,1600.0,H1,ASPH,0,0
373,06AL,1600.0,H2,ASPH,0,0
374,06AL,1600.0,H3,ASPH,0,0
375,06AL,1600.0,H4,ASPH,0,0
376,06AL,1600.0,H5,ASPH,0,0
377,06AL,1600.0,H6,ASPH,0,0
378,06AL,1600.0,H7,TURF,0,0
379,06AR,2900.0,16,TURF,1,0
380,06AZ,80.0,H1,CONC,1,0
381,06B,15000.0,2,WATER-E,0,0
382,06CA,20.0,H1,CONC,0,0
383,06CL,46.0,H1,CONC,1,0
384,06CO,4500.0,17,TURF,0,0
385,06FA,7003.0,9,ASPH,1,0
386,06FD,3400.0,18,TURF,0,0
387,06FL,200.0,H1,TURF,0,0
388,06GA,300.0,H1,TURF,0,0
389,06I,16000.0,E,WATER,0,0
390,06IA,1750.0,9,TURF,0,0
391,06ID,2200.0,9,GRVL-DIRT,0,0
392,06IL,2580.0,9,TURF,0,0
393,06IN,1600.0,N,TURF,0,0
394,06IS,2600.0,18,TURF,0,0
395,06KS,25.0,H1,TURF,0,0
396,06KY,60.0,H1,CONC,0,0
397,06LA,39.0,H1,CONC,0,0
398,06LL,40.0,H1,CONC,0,0
399,06LS,40.0,H1,CONC,0,0
400,06MA,15.0,H1,ASPH,0,0
401,06MD,60.0,H1,CONC,1,0
402,06MI,45.0,H1,CONC,0,0
403,06MI,45.0,H2,ASPH,0,0
404,06MN,1500.0,12,TURF,0,0
405,06MO,3000.0,15,ASPH,1,0
406,06MT,2200.0,E,TURF,0,0
407,06N,2811.0,8,ASPH-G,1,0
408,06NC,2600.0,9,TURF,0,0
409,06ND,2800.0,8,TURF,0,0
410,06NE,130.0,H1,CONC,0,0
411,06NH,1900.0,17,TURF,0,0
412,06NY,2000.0,15,TURF,0,0
413,06O1,40.0,H1,CONC,0,0
414,06OH,2400.0,9,TURF,0,0
415,06OI,2256.0,9,TURF-F,0,0
416,06OK,300.0,H1,TURF,0,0
417,06OR,1000.0,N,GRAVEL,0,0
418,06PA,2965.0,8,TURF-G,0,0
419,06PN,15.0,H1,CONC,0,0
420,06PN,80.0,H2,ASPH,0,0
421,06R,2480.0,15,ASPH-G,1,0
422,06SN,2400.0,17,TURF,0,0
423,06TA,1900.0,N,GRAVEL,0,0
424,06TE,3500.0,8,ASPH,0,0
425,06TN,2000.0,5,TURF-F,0,0
426,06TX,1680.0,1,TURF,0,0
427,06VA,2000.0,5,TURF-G,0,0
428,06WA,60.0,H1,ASPH,0,0
429,06WN,2845.0,9,ASPH-G,1,0
430,06XS,1750.0,16,TURF,0,0
431,06Y,2997.0,14,ASPH-G,1,0
432,07AL,6000.0,H1,TURF,0,0
433,07AR,3000.0,11,TURF,0,0
434,07B,3186.0,16,TURF-F,0,0
435,07CA,40.0,H1,CONC,0,0
436,07CL,2220.0,16,ASPH,1,0
437,07CO,3100.0,2,TURF,0,0
438,07D,2244.0,18,TURF-G,1,0
439,07FA,4500.0,4,ASPH,1,0
440,07FL,67.0,H1,ASPH,0,0
441,07GA,1700.0,9,TURF,0,0
442,07I,15000.0,NE,WATER,0,0
443,07ID,3000.0,NW,TURF-DIRT,0,0
444,07II,60.0,H1,CONC,1,0
445,07IN,1860.0,N,TURF,0,0
446,07K,3700.0,15,CONC-E,1,0
447,07KS,2000.0,18,TURF,0,0
448,07KY,2000.0,11,TURF,0,0
449,07LA,30.0,H1,CONC,0,0
450,07LS,50.0,H1,CONC,0,0
451,07MA,120.0,H1,TURF,0,0
452,07MD,1000.0,17,TURF,0,0
453,07ME,900.0,H1,TURF,0,0
454,07MI,2904.0,9,TURF,0,0
455,07MN,2600.0,E,TURF,0,0
456,07MO,2700.0,17,TURF-GRVL-F,0,0
457,07MT,13500.0,10,CONC-G,1,0
458,07N,2200.0,16,TURF-F,0,0
459,07NC,2000.0,8,TURF,0,0
460,07NH,2500.0,05W,WATER,0,0
461,07NH,2500.0,17W,WATER,0,0
462,07NJ,45.0,H1,ASPH,0,0
463,07NY,50.0,H1,ASPH,1,0
464,07OH,30.0,H1,CONC,0,0
465,07OK,2400.0,17,TURF,0,0
466,07OR,1200.0,17,TURF,0,0
467,07PN,1600.0,9,TURF,0,0
468,07TA,2200.0,6,TURF,1,1
469,07TA,200.0,H1,CONC-TURF,1,0
470,07TE,5000.0,13,ASPH,0,0
471,07TN,1800.0,7,TURF,0,0
472,07TS,2500.0,17,TURF,1,0
473,07TX,400.0,H1,TURF,0,0
474,07VA,1600.0,16,TURF,0,0
475,07VT,526.0,5,TURF,0,0
476,07VT,595.0,14,TURF,0,0
477,07WA,53.0,H1,CONC,0,0
478,07WI,1500.0,9,TURF,0,0
479,07XS,30.0,H1,CONC,0,0
480,07Y,2850.0,16,TURF-G,0,0
481,08AK,1200.0,1,GRVL,0,0
482,08AR,50.0,H1,CONC,0,0
483,08AZ,42.0,H1,CONC,0,0
484,08B,1935.0,14,TURF-G,1,0
485,08CA,60.0,H1,ASPH,0,0
486,08CL,2000.0,E,DIRT,0,0
487,08CN,50.0,H1,CONC,1,0
488,08CO,2600.0,9,TURF,0,0
489,08CT,4700.0,1,WATER,0,0
490,08F,2584.0,17,TURF-F,0,0
491,08FA,3390.0,9,TURF,0,0
492,08FD,4138.0,18,TURF,0,0
493,08FL,2500.0,3,TURF,0,0
494,08G,60.0,H1,ASPH-G,0,0
495,08GA,5000.0,3,TURF,1,0
496,08ID,2500.0,NW,GRAVEL,0,0
497,08II,30.0,H1,CONC,0,0
498,08IL,2200.0,9,TURF,0,0
499,08IN,5000.0,13W,WATER,0,0
500,08IS,1320.0,18,TURF,0,0
501,08KS,2700.0,17,GRAVEL,1,0
502,08KY,2500.0,9,TURF-G,0,0
503,08LA,30.0,H1,TURF,0,0
504,08LL,2190.0,18,TURF-G,0,0
505,08LS,2000.0,18,TURF,0,0
506,08MA,1000.0,4,ASPH,0,0
507,08MD,45.0,H1,MATS,1,0
508,08ME,2300.0,13,TURF-F,0,0
509,08MI,60.0,H1,ROOF-TOP,1,0
510,08MN,11088.0,18,WATER,0,0
511,08MO,2640.0,3,TURF,0,0
512,08MO,2140.0,18,TURF,0,0
513,08MS,3725.0,7,ASPH-TURF,1,0
514,08MT,2600.0,7,DIRT,0,0
515,08N,2635.0,7,TURF-G,1,0
516,08NC,3200.0,18,TURF,0,0
517,08ND,1300.0,17,TURF,0,0
518,08NE,3000.0,11,TURF-G,1,0
519,08NH,80.0,H1,CONC,1,0
520,08NJ,90.0,H1,ASPH,0,0
521,08NY,550.0,1,TURF,0,0
522,08NY,500.0,10,TURF,0,0
523,08OH,3000.0,E,TURF,0,0
524,08OK,1800.0,8,TURF,1,0
525,08OL,1029.0,18,Turf,0,0
526,08OR,2800.0,18,GRVL,0,0
527,08PA,200.0,H1,TURF,0,0
528,08PN,50.0,H1,ASPH,0,0
529,08R,2129.0,11,ASPH-P,1,0
530,08TA,200.0,H1,TURF,0,0
531,08TE,3100.0,16,ASPH,0,0
532,08TX,2100.0,9,TURF,1,0
533,08TX,1800.0,18,TURF,0,0
534,08U,3600.0,1,DIRT-F,0,0
535,08VA,1800.0,9,TURF,0,0
536,08WA,100.0,H1,CONC,0,0
537,08XS,2350.0,3,TURF,0,0
538,09AA,22.0,H1,Deck,0,0
539,09AK,1300.0,6,TURF,0,0
540,09AR,135.0,H1,ASPH,0,0
541,09AZ,2350.0,6,DIRT,0,0
542,09CA,65.0,H1,ASPH,1,0
543,09CL,3000.0,1,ASPH-F,0,0
544,09CN,50.0,H2,CONC,1,0
545,09CO,3250.0,9,TURF,0,0
546,09FA,4800.0,18,ASPH-E,1,0
547,09FD,2649.0,18,TURF,0,0
548,09FL,3000.0,9,TURF,0,0
549,09GA,2400.0,9,TURF,0,0
550,09I,5000.0,5,WATER,0,0
551,09I,5000.0,8,WATER,0,0
552,09IA,2700.0,9,ASPH-TURF,0,0
553,09ID,2300.0,9,TURF,0,0
554,09II,1600.0,E,TURF,0,0
555,09IL,40.0,H1,CONC,0,0
556,09IN,2200.0,9,TURF,1,0
557,09IN,2200.0,18,TURF,0,0
558,09IS,39.0,H1,CONC,0,0
559,09KS,2500.0,17,TURF,0,0
560,09KY,50.0,H1,CONC,0,0
561,09LA,50.0,H1,CONC,0,0
562,09LL,2300.0,17,TURF,0,0
563,09LS,40.0,H1,CONC,1,0
564,09MA,1700.0,9,TURF,0,0
565,09MA,2000.0,15,TURF,0,0
566,09ME,2000.0,4,TURF,0,0
567,09MI,40.0,H1,CONC,0,0
568,09MO,1320.0,E,TURF,0,0
569,09N,1863.0,2,TURF-F,0,0
570,09NC,2400.0,16,TURF,0,0
571,09NE,2500.0,18,TURF,0,0
572,09NJ,100.0,H1,TURF,0,0
573,09NR,1800.0,9,Turf,0,0
574,09NR,24.0,H1,CON,0,0
575,09NR,24.0,H2,CON,0,0
576,09NY,100.0,H1,ASPH,0,0
577,09OK,2500.0,1,TURF,0,0
578,09OR,50.0,H1,TURF,0,0
579,09PA,2300.0,6,TURF,0,0
580,09S,1765.0,16,TURF-P,0,0
581,09TA,2400.0,17,TURF-P,0,0
582,09TE,2815.0,16,TURF-F,0,0
583,09TN,80.0,H1,CONC,0,0
584,09TS,4200.0,9,ASPH,0,0
585,09TX,2340.0,10,TURF,0,0
586,09TX,1220.0,14,TURF,0,0
587,09TX,5200.0,E,TURF,0,0
588,09VA,1100.0,5,TURF,0,0
589,09VG,96.0,H1,CONC,1,0
590,09W,60.0,H1,ASPH-G,0,0
591,09WA,60.0,H1,CONC,0,0
592,09WI,2500.0,N,TURF,0,0
593,09XS,90.0,H1,CONC,0,0
594,09Y,8000.0,17,WATER,0,0
595,0AA7,2539.0,18,Turf,0,0
596,0AK,2541.0,7,GRVL-F,1,0
597,0AK0,1050.0,8,TURF-G,0,0
598,0AK1,3000.0,06W,WATER,0,0
599,0AK1,2200.0,8,GRAVEL,0,0
600,0AK2,1000.0,3,TURF-DIRT,0,0
601,0AK3,900.0,14,TURF,0,0
602,0AK5,1550.0,2,TURF,0,0
603,0AK6,1700.0,11,DIRT,0,0
604,0AK7,2400.0,6,GRVL,1,0
605,0AK8,150.0,H1,GVL,0,0
606,0AK9,2000.0,17,GRVL,0,0
607,0AL0,90.0,H1,ASPH,0,0
608,0AL1,2640.0,17,TURF,0,0
609,0AL2,24.0,H1,CONC,0,0
610,0AL3,24.0,H1,CONC,0,0
611,0AL4,30.0,H1,CONC,0,0
612,0AL5,2200.0,15,TURF,0,0
613,0AL6,49.0,H1,ASPH,0,0
614,0AL7,30.0,H1,CONC,0,0
615,0AL8,55.0,H1,ASPH,0,0
616,0AL9,2200.0,9,TURF,0,0
617,0AR0,60.0,H1,ASPH,1,0
618,0AR2,2800.0,18,TURF-GRVL,0,0
619,0AR3,2000.0,E,TURF,0,0
620,0AR4,11.0,H1,ASPH,0,0
621,0AR5,42.0,H1,CONC,0,0
622,0AR6,20.0,H1,CONC,0,0
623,0AR7,2200.0,18,TURF,0,0
624,0AR8,30.0,H1,CONC,0,0
625,0AR9,10.0,H1,ASPH,0,0
626,0AZ0,40.0,H1,MATS,1,0
627,0AZ1,2000.0,3,DIRT,0,0
628,0AZ1,3250.0,14,DIRT,0,0
629,0AZ1,2500.0,16,DIRT,0,0
630,0AZ2,1500.0,12,GRVL,0,0
631,0AZ2,3500.0,17,ASPH,0,0
632,0AZ4,2900.0,1,TURF,0,0
633,0AZ5,1400.0,17,ASPH-DIRT,0,0
634,0AZ6,40.0,H1,CONC,0,0
635,0AZ6,40.0,H2,CONC,0,0
636,0AZ6,40.0,H3,CONC,0,0
637,0AZ7,50.0,H1,CONC,0,0
